format,fy,date,txns
FLEET,2016,6/14/2016,10693
FLEET,2016,6/15/2016,10807
FLEET,2016,6/16/2016,10642
FLEET,2016,6/17/2016,9140
FLEET,2016,6/18/2016,4646
FLEET,2016,6/19/2016,4375
FLEET,2016,6/20/2016,11034
FLEET,2016,6/21/2016,10419
FLEET,2016,6/22/2016,10242
FLEET,2016,6/23/2016,9878
FLEET,2016,6/24/2016,8847
FLEET,2016,6/25/2016,3928
FLEET,2016,6/26/2016,3586
FLEET,2016,6/27/2016,9416
FLEET,2016,6/28/2016,9595
FLEET,2016,6/29/2016,10943
FLEET,2016,6/30/2016,12172
FLEET,2016,7/1/2016,9259
FLEET,2016,7/2/2016,5426
FLEET,2016,7/3/2016,4680
FLEET,2016,7/4/2016,4876
FLEET,2016,7/5/2016,10379
FLEET,2016,7/6/2016,11260
FLEET,2016,7/7/2016,11660
FLEET,2016,7/8/2016,10506
FLEET,2016,7/9/2016,6705
FLEET,2016,7/10/2016,6799
FLEET,2016,7/11/2016,10525
FLEET,2016,7/12/2016,9214
FLEET,2016,7/13/2016,9303
FLEET,2016,7/14/2016,10113
FLEET,2016,7/15/2016,8900
FLEET,2016,7/16/2016,4606
FLEET,2016,7/17/2016,4378
FLEET,2016,7/18/2016,10128
FLEET,2016,7/19/2016,9300
FLEET,2016,7/20/2016,9224
FLEET,2016,7/21/2016,9230
FLEET,2016,7/22/2016,8379
FLEET,2016,7/23/2016,4088
FLEET,2016,7/24/2016,3654
FLEET,2016,7/25/2016,9394
FLEET,2016,7/26/2016,9244
FLEET,2016,7/27/2016,10202
FLEET,2016,7/28/2016,10453
FLEET,2016,7/29/2016,9631
FLEET,2016,7/30/2016,5114
FLEET,2016,7/31/2016,4751
FLEET,2016,8/1/2016,10455
FLEET,2016,8/2/2016,11871
FLEET,2016,8/3/2016,12360
FLEET,2016,8/4/2016,12537
FLEET,2016,8/5/2016,10231
FLEET,2016,8/6/2016,5822
FLEET,2016,8/7/2016,6020
FLEET,2016,8/8/2016,10225
FLEET,2016,8/9/2016,10145
FLEET,2016,8/10/2016,10605
FLEET,2016,8/11/2016,11110
FLEET,2016,8/12/2016,10118
FLEET,2016,8/13/2016,5383
FLEET,2016,8/14/2016,5221
FLEET,2016,8/15/2016,10601
FLEET,2016,8/16/2016,10364
FLEET,2016,8/17/2016,10333
FLEET,2016,8/18/2016,11100
FLEET,2016,8/19/2016,9810
FLEET,2016,8/20/2016,5509
FLEET,2016,8/21/2016,5043
FLEET,2016,8/22/2016,9557
